id,label,type
abfallentsorgung,Abfallentsorgung,3
achimmeyeraufderheyde,Achim Meyer auf der Heyde,1
agoraenergiewende,Agora Energiewende,2
alexanderkenyeressy,Dr. Alexander Kenyeressy,1
alexanderkessler,Dr. Alexander Kessler,1
alfredvoss ,Prof. Dr.-Ing. Alfred Voß ,1
alfredwegenerinstitut,Alfred-Wegener-Institut,2
alfredwiedensohler,Prof. Dr. Alfred Wiedensohler ,1
almutkottwitz,Almut Kottwitz,1
alstom,Alstom,2
anderslevermann,Prof. Dr. Anders Levermann,1
andreasibel,Andreas Ibel,1
andreasklages,Andreas Klages,1
andreastheuer,Andreas Theuer,1
andreaswilhelmlukas,Andreas Wilhelm Lukas,1
andreaszuber,Dr. Andreas Zuber ,1
andreesgentzsch,Dr. Andrees Gentzsch,1
andrejholm,Dr. Andrej Holm,1
angelikathomas,Angelika Thomas,1
anketuschek,Dr. Anke Tuschek,1
annemariekeding,Anne-Marie Keding,1
anwaltskanzleigleisslutz,Anwaltskanzlei Gleiss Lutz,2
arbeitsgemeinschaftdeutscherwaldbesitzerverbaende,Arbeitsgemeinschaft Deutscher Waldbesitzerverbände,2
arbeitsgemeinschaftherdenschutzhundeev,Arbeitsgemeinschaft Herdenschutzhunde e.V.,2
aribertpeters,Dr. Aribert Peters ,1
arkhangelskarcticstateuniversity,Arkhangelsk Arctic State University,2
arminrockholz,Dr. Armin Rockholz,1
arminvetter,Dr. Armin Vetter,1
arnobunzel,Prof. Dr. Arno Bunzel ,1
artenschutz,Artenschutz,3
ascopusgmbh,ASCOPUS GmbH,2
assezweibegleitgruppe,Asse 2 Begleitgruppe,2
atomkraft,Atomkraft,3
axelgedaschko,Axel Gedaschko,1
axelwelge,Axel Welge ,1
bastianolzem,Bastian Olzem ,1
baumannrechtsanwaelte,Baumann Rechtsanwälte,2
baurechtsamtfreiburgimbreisgau,Baurechtsamt Freiburg im Breisgau,2
bayerischesstaatsministeriumfuerumweltundverbraucherschutz,Bayerisches Staatsministerium für Umwelt und Verbraucherschutz,2
bayrischesstaatsministeriumfuerumweltundgesundheit,Bayerisches Staatsministerium für Umwelt und Gesundheit,2
beatejessel,Prof. Dr. Beate Jessel,1
beatrixtappeser,Dr. Beatrix Tappeser,1
belectricsolarkraftwerkegmbh,Belectric Solarkraftwerke GmbH,2
belectrictradinggmbh,Belectric Trading GmbH,1
berlinerstadtreinigung,Berliner Stadtreinigung,2
bernhardbeck,Bernhard Beck,1
bezirksregierungarnsberg,Bezirksregierung Arnsberg,2
biodiversitaet,Biodiversität,3
biogasratev,Biogasrat e.V.,2
birgitfix,Dr. Birgit Fix,1
bjoernklusmann,Björn Klusmann,1
boschundpartnergmbh,Bosch & Partner GmbH,2
botanischergartenundbotanischesmuseumberlindahlem,Botanischer Garten und Botanisches Museum Berlin-Dahlem,2
brittahabbe,Dr. Britta Habbe,1
brotfuerdiewelt,Brot für die Welt,2
brunothomauske,Prof. Dr. Bruno Thomauske,1
buendnisbuergerenergieev,Bündnis Bürgerenergie e.V.,2
buergerinitiativekeineneuenwindraederincrussow,"Bürgerinitiative ""Keine neuen Windräder in Crussow""",2
buergerinitiativeumweltschutzluechowdannenbergev,Bürgerinitiative Umweltschutz Lüchow Dannenberg e.V.,2
buergerinitiativewindradfreiesdietramszellev,Bürgerinitiative Windradfreies Dietramszell e.V.,2
buerofueratomsicherheit,Büro für Atomsicherheit,2
bundderenergieverbraucherev,Bund der Energieverbraucher e.V.,2
bundesamtfuerkerntechnischeentsorgungssicherheit,Bundesamt für kerntechnische Entsorgungssicherheit,2
bundesamtfuernaturschutz,Bundesamt für Naturschutz,2
bundesamtfuerstrahlenschutz,Bundesamt für Strahlenschutz,2
bundesanstaltfuergeowissenschaftenundrohstoffegeozentrumhannover,Bundesanstalt für Geowissenschaften und Rohstoffe Geozentrum Hannover,2
bundesarbeitsgemeinschaftimmobilienwirtschaftdeutschland,Bundesarbeitsgemeinschaft Immobilienwirtschaft Deutschland,2
bundesgesellschaftfuerendlagerungmbh,Bundesgesellschaft für Endlagerung mbH,2
bundesministeriumfuerumweltnaturschutzundreaktorsicherheit,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",2
bundesministeriumfuerwirtschaftundenergie,Bundesministerium für Wirtschaft und Energie,2
bundesnetzagentur,Bundesnetzagentur,2
bundestransferstellestadtumbau,Bundestransferstelle Stadtumbau,2
bundesverbandbioenergieev,Bundesverband BioEnergie e.V.,2
bundesverbandbuergerinitiativenumweltschutzev,Bundesverband Bürgerinitiativen Umweltschutz e.V.,2
bundesverbandderdeutschenentsorgungswasserundrohstoffwirtschaftev,Bundesverband der Deutschen Entsorgungs- Wasser- und Rohstoffwirtschaft e. V.,2
bundesverbandderdeutschenfluggesellschaftenev,Bundesverband der Deutschen Fluggesellschaften e.V.,2
bundesverbandderdeutschenindustrieev,Bundesverband der deutschen Industrie e.V.,2
bundesverbandderenergieundwasserwirtschaftev,Bundesverband der Energie- und Wasserwirtschaft e.V.,2
bundesverbanddeutscherwohnungsundimmobilienunternehmenev,Bundesverband deutscher Wohnungs- und immobilienunternehmen e.V.,2
bundesverbandemissionshandelundklimaschutz,Bundesverband Emissionshandel und Klimaschutz,2
bundesverbanderneuerbareenergienev,Bundesverband Erneuerbare Energie e.V.,2
bundesverbandfreierimmobilienundwohnungsunternehmenev,Bundesverband freier Immobilien- und Wohnungsunternehmen e.V.,2
bundesverbandfuerwohnenundstadtentwicklungev,Bundesverband für Wohnen und Stadtentwicklung e.V.,2
bundesverbandsekundaerrohstoffeundentsorgungev,Bundesverband Sekundärrohstoffe und Entsorgung e.V.,2
bundesverbandwindenergieev,Bundesverband WindEnergie e.V.,2
bundesvereinigungderkommunalenspitzenverbaende,Bundesvereinigung der kommunalen Spitzenverbände,2
bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,"Bundesvereinigung der kommunalen Spitzenverbände, Deutscher Landkreistag",2
bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,"Bundesvereinigung der kommunalen Spitzenverbände, Deutscher Städtetag",2
bundesvereinigungderlandesundstadtentwicklungsgesellschaftenev,Bundesvereinigung der Landes- und Stadtentwicklungsgesellschaften e.V.,2
bundfuerumweltundnaturschutzdeutschlandev,Bund für Umwelt und Naturschutz Deutschland e.V.,2
bundlaenderarbeitsgemeinschaftwasser,Bund-&Länder-Arbeitsgemeinschaft Wasser,1
bundnaturschutzbayernev,Bund Naturschutz Bayern e.V.,2
burkhardlanders,Burkhard Landers ,1
bzlkommunikationundprojektsteuerunggmbh,BZL Kommunikation und Projektsteuerung GmbH,2
carolinschilde,Dr. Carolin Schilde,1
christianasteinbruegge,Christiana Steinbrügge,1
christianbuschbaum,Dr. Christian Buschbaum,1
christianpopp,Christian Popp,1
christiantebert,Christian Tebert,1
christiantietje,Prof. Dr. Christian Tietje,1
christophbals,Christoph Bals,1
christophcoch,Dr. med. Christoph Coch ,1
christopherdoernemann,Dr. Christopher Dörnemann,1
christophhaeuser,Dr. Christoph Häuser,1
christophhahn,Christoph Hahn,1
christophpistner,Dr. Christoph Pistner,1
christophthen,Dr. Christoph Then,1
citizensnuclearinformationcenter,Citizens’ Nuclear Information Center,2
claudiakemfert,Prof. Dr. Claudia Kemfert,1
cornelialoehne,Dr. Cornelia Löhne,1
corneliaziehm,Dr. Cornelia Ziehm,1
danielathraen,Dr. Daniela Thrän ,1
danielhoelder,Daniel Hölder,1
demosgesellschaftfuerepartizipationmbh,Demos Gesellschaft für E-Partizipation mbH,2
detlefraphael,Detlef Raphael ,1
detlevstoehr,Detlev Stöhr,1
deutscheakademiedertechnikwissenschaftenacatech,Deutsche Akademie der Technikwissenschaften - acatech,2
deutscheenergieagenturgmbh,Deutsche Energie-Agentur GmbH,2
deutschegesellschaftfuerinternationalezusammenarbeit,Deutsche Gesellschaft für Internationale Zusammenarbeit,2
deutscheindustrievereinigungbiotechnologieimverbandderchemischenindustrieev,Deutsche Industrievereinigung Biotechnologie im Verband der Chemischen Industrie e.V.,2
deutschekommissionelektrotechnik,Deutsche Kommission Elektrotechnik,2
deutscheranwaltverein,Deutscher Anwaltverein,2
deutscherbauernverbandev,Deutscher Bauernverband e.V.,2
deutschercaritasverbandev,Deutscher Caritasverband e.V.,2
deutschergewerkschaftsbund,Deutscher Gewerkschaftsbund,2
deutscherindustrieundhandelskammertagev,Deutscher Industrie- und Handelskammertag e.V.,2
deutschermieterbundev,Deutscher Mieterbund e.V.,2
deutscherolympischersportbund,Deutscher Olympischer Sportbund,2
deutschesgeoforschungszentrum,Deutsches Geoforschungszentrum,2
deutschesinstitutfuerurbanistikggmbh,Deutsches Institut für Urbanistik gGmbH,2
deutschesinstitutfuerwirtschaftsordnungev,Deutsches Institut für Wirtschaftsordnung e.V. (Sachverständigenrat für Umweltfragen),2
deutschesstudentenwerkev,Deutsches Studentenwerk e.V.,2
deutscheumwelthilfeev,Deutsche Umwelthilfe e.V.,2
deutscheunternehmensinitiativeenergieeffizienzev,Deutsche Unternehmensinitiative Energieeffizienz e.V.,2
dietmarstephan,Prof. Dr. Dietmar Stephan ,1
dietmarwienholdt,MDg Dietmar Wienholdt,1
dietrichborchardt,Prof. Dr. Dietrich Borchardt ,1
dietrichjelden,Prof. Dr. Dietrich Jelden,1
dirkjansen,Dirk Jansen ,1
dirktessmer,Dirk Teßmer,1
doertesiedentopf,Dr. med. Dörte Siedentopf,1
duesseldorferinstituteforcompetitioneconomics,Düsseldorfer Institute for Competition Economics,2
eberhardholstein,Eberhard Holstein ,1
eckhardhorwedel,Eckhard Horwedel,1
ecofysgermany,Ecofys Germany,2
ecologinstitutggmbh,ECOLOG-Institut gGmbH,2
eggersmalmendierrechtsanwaelte,Eggers Malmendier Rechtsanwälte,2
eickerweber,Prof. Eicke R. Weber ,1
ellennaumann,Ellen Naumann,1
enertragag,ENERTRAG AG,2
eonag,E.ON AG,2
erklaerungvonbern,Erklärung von Bern,2
erneuerbareenergien,Erneuerbare Energien,3
fachverbandbiogasev,Fachverband Biogas e.V.,2
felixchristianmatthes,Dr. Felix Christian Matthes,1
florianballnus,Dr. Florian Ballnus,1
florianschoene,Florian Schöne,1
fluechtlinge,Flüchtlinge,3
foodwatchev,foodwatch e.V.,2
forumumweltundentwicklung,Forum Umwelt und Entwicklung,2
fracking,Fracking,3
francoismeienberg,Francois Meienberg,1
frankfellenberg,Dr. Frank Fellenberg,1
frankpeter,Frank Peter,1
frankschorkopf,Prof. Dr. Frank Schorkopf,1
franziskahess,Franziska Heß,1
franzjoseftiggers,Franz Josef Tiggers,1
fraunhoferinstitutfuersolareenergiesysteme ,Fraunhofer-Insitut für Solare Energiesysteme ,2
fraunhoferinstitutfuersystemundinnovationsforschung,Fraunhofer-Institut für System und Innovationsforschung,2
fritzholzwarth,MDg Dr. Fritz Holzwarth,1
gabrielefriderich,Gabriele Friderich,1
gassnergrothsiederercollrechtsanwaelte,"Gaßner, Groth, Siederer & Coll",1
georgaugustuniversitaetgoettingen,Georg-August-Universität Göttingen,2
georgbuchholz,Dr. Georg Buchholz,1
georgrast,Georg Rast,1
gerdkraus,Dr. Gerd Kraus,1
germanwatchev,Germanwatch e.V.,2
gesinekortweiher,Gesine Kort-Weiher,1
geulenklingerrechtsanwaelte,Geulen & Klinger Rechtsanwälte,2
gewaesser,Gewässer,3
gilesdickson,Giles Dickson,1
grazuniversityoftechnology,Graz University of Technology,2
greencrossrussland,Green Cross Russland,2
greenpeaceev,Greenpeace e.V.,2
grueneligaev,GRÜNE LIGA e.V.,2
grundgruenenergiegmbh,Grundgrün Energie GmbH,2
handelsabkommen,Handelsabkommen,3
handelsverbanddeutschlandev,Handelsverband Deutschland e.V.,2
hansgerdmarian,Hans-Gerd Marian,1
hansguentherstehr,Hans-Günter Stehr,1
hanshagedorn,Hans Hagedorn,1
hansjoachimreck,Hans-Joachim Reck,1
hanspeterhutter,Prof. Dr. Hans-Peter Hutter,1
hanspeterneitzke,Dr. H.-Peter Neitzke,1
harrylehmann,Dr. Harry Lehmann,1
hartmutgassner,Hartmut Gaßner,1
hartmutmeyer,Dr. Hartmut Meyer,1
hartmutpick,Dr. Hartmut Pick,1
hausundgrunddeutschland,Haus & Grund Deutschland,2
heidifoth,Prof. Dr. Heidi Foth,1
heikeliebmann,Prof. Dr. Heike Liebmann,1
heikewiegel,Heike Wiegel,1
heinrichbrinkmann,Heinrich Brinkmann,1
heinzsmital,Heinz Smital,1
heinzwdrotleff,Dr. Heinz-W. Drotleff,1
helmholtzzentrumfuerumweltforschung,Helmholtz-Zentrum für Umweltforschung,2
helmutlamp,Helmut Lamp ,1
herbertbarthel,Dr. Herbert Barthel,1
herbertmuders,Herbert Muders,1
hermannalbers,Hermann Albers ,1
hermannfalk,Dr. Hermann Falk,1
herwartwilms,Herwart Wilms ,1
hessischesministeriumfuerumweltklimaschutzlandwirtschaftundverbraucherschutz,"Hessisches Ministerium für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz",2
hideyukiban,Hideyuki Ban,1
