from,to,weight
abfallentsorgung,bundesverbandderdeutschenentsorgungswasserundrohstoffwirtschaftev,2
abfallentsorgung,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,2
abfallentsorgung,deutscheumwelthilfeev,2
abfallentsorgung,kommunalservicejena,2
abfallentsorgung,verbandkommunalerunternehmenev,2
abfallentsorgung,ascopusgmbh,1
abfallentsorgung,berlinerstadtreinigung,1
abfallentsorgung,bundesverbandderdeutschenentsorgungswasserundrohstoffwirtschaftev,2
abfallentsorgung,bundesverbandderdeutschenindustrieev,1
abfallentsorgung,bundesverbandsekundaerrohstoffeundentsorgungev,1
abfallentsorgung,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,2
abfallentsorgung,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
abfallentsorgung,deutscheumwelthilfeev,2
abfallentsorgung,gassnergrothsiederercollrechtsanwaelte,1
abfallentsorgung,handelsverbanddeutschlandev,1
abfallentsorgung,ingenieurberatungdietershagen,1
abfallentsorgung,kommunalservicejena,2
abfallentsorgung,prognosag,1
abfallentsorgung,remondisassetsundservicesgmbhundcokg,1
abfallentsorgung,verbandkommunalerunternehmenev,2
abfallentsorgung,verdi,1
abfallentsorgung,zentralverbandelektrotechnikundelektroindustrieev,1
andreasibel,bundesverbandfreierimmobilienundwohnungsunternehmenev,2
andreasibel,fluechtlinge,1
andreasibel,infrastruktur,1
andreastheuer,bundesverbandderdeutschenindustrieev,2
andreastheuer,klimaschutz,2
andreastheuer,luftbelastung,1
andreastheuer,thyssenkruppstelleuropaag,1
artenschutz,arbeitsgemeinschaftherdenschutzhundeev,1
artenschutz,bundesamtfuernaturschutz,1
artenschutz,landesjaegerschaftniedersachsenev,1
artenschutz,lupusinstitutfuerwolfsmonitoringundforschungindeutschland,1
artenschutz,naturschutzbunddeutschlandev,1
artenschutz,prowildlifeev,1
artenschutz,uebereinkommenueberdeninternationalenhandelmitgefaehrdetenfreilebendentierenundpflanzen,1
artenschutz,wwfdeutschland,1
atomkraft,buerofueratomsicherheit,2
atomkraft,bundesamtfuerkerntechnischeentsorgungssicherheit,2
atomkraft,bundesgesellschaftfuerendlagerungmbh,2
atomkraft,bundfuerumweltundnaturschutzdeutschlandev,2
atomkraft,deutscheumwelthilfeev,2
atomkraft,oekoinstitutev,2
atomkraft,agoraenergiewende,3
atomkraft,greenpeaceev,3
atomkraft,bundesamtfuerstrahlenschutz,4
atomkraft,agoraenergiewende,3
atomkraft,arkhangelskarcticstateuniversity,1
atomkraft,assezweibegleitgruppe,1
atomkraft,buergerinitiativeumweltschutzluechowdannenbergev,1
atomkraft,buerofueratomsicherheit,2
atomkraft,bundesamtfuerkerntechnischeentsorgungssicherheit,2
atomkraft,bundesamtfuerstrahlenschutz,4
atomkraft,bundesgesellschaftfuerendlagerungmbh,2
atomkraft,bundesverbandderenergieundwasserwirtschaftev,1
atomkraft,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,1
atomkraft,bundfuerumweltundnaturschutzdeutschlandev,2
atomkraft,citizensnuclearinformationcenter,1
atomkraft,demosgesellschaftfuerepartizipationmbh,1
atomkraft,deutscheenergieagenturgmbh,1
atomkraft,deutscheumwelthilfeev,2
atomkraft,duesseldorferinstituteforcompetitioneconomics,1
atomkraft,eonag,1
atomkraft,greencrossrussland,1
atomkraft,greenpeaceev,3
atomkraft,hochschulefuertechnikundwirtschaft,1
atomkraft,institutfuervoelkerrechtundeuroparecht,1
atomkraft,internationalenergyagency,1
atomkraft,ippnwaerztezurverhuetungdesatomkriegesaerzteinsozialerverantwortung,1
atomkraft,karlsruherinstitutfuertechnologie,1
atomkraft,karlsruherinstitutfuertechnologieinstitutfuernukleareentsorgung,1
atomkraft,kommissionlagerunghochradioaktiverabfaelle,1
atomkraft,naturfreundedeutschlands,1
atomkraft,netzwerkderkoordinierungszentrenfuerklinischestudienev,1
atomkraft,niedersaechsischesministeriumfuerumweltenergieundklimaschutz,1
atomkraft,oekoinstitutev,2
atomkraft,premierministerjapan2010bis2011,1
atomkraft,projektatommuellreport,1
atomkraft,rheinischwestfaelischetechnischehochschuleaachen,1
atomkraft,rweag,1
atomkraft,saechsischesstaatsministeriumfuerumweltundlandwirtschaft,1
atomkraft,stadthannover,1
atomkraft,strahlenschutzkommission,1
atomkraft,technischehochschulemittelhessen,1
atomkraft,tennettsogmbh,1
atomkraft,tuvnordensysgmbhundcokg ,1
atomkraft,universitaetgreifswald,1
atomkraft,universitaetstuttgart,1
atomkraft,verbandkommunalerunternehmenev,1
atomkraft,worldnuclearindustrystatusreport,1
axelgedaschko,bundesverbanddeutscherwohnungsundimmobilienunternehmenev,5
axelgedaschko,bundesarbeitsgemeinschaftimmobilienwirtschaftdeutschland,1
axelgedaschko,fluechtlinge,1
axelgedaschko,infrastruktur,5
beatejessel,bundesamtfuernaturschutz,4
beatejessel,erneuerbareenergien,2
beatejessel,infrastruktur,1
beatejessel,umweltrecht,1
biodiversitaet,botanischergartenundbotanischesmuseumberlindahlem,2
biodiversitaet,bundesamtfuernaturschutz,2
biodiversitaet,deutscheindustrievereinigungbiotechnologieimverbandderchemischenindustrieev,2
biodiversitaet,museumfuernaturkundeberlin,2
biodiversitaet,botanischergartenundbotanischesmuseumberlindahlem,2
biodiversitaet,bundesamtfuernaturschutz,2
biodiversitaet,deutschegesellschaftfuerinternationalezusammenarbeit,1
biodiversitaet,deutscheindustrievereinigungbiotechnologieimverbandderchemischenindustrieev,2
biodiversitaet,erklaerungvonbern,1
biodiversitaet,georgaugustuniversitaetgoettingen,1
biodiversitaet,helmholtzzentrumfuerumweltforschung,1
biodiversitaet,museumfuernaturkundeberlin,2
biodiversitaet,naturschutzbunddeutschlandev,1
biodiversitaet,senckenbergdeutschesentomologischesinstitutmuencheberg,1
bjoernklusmann,bundesverbanderneuerbareenergienev,2
bjoernklusmann,erneuerbareenergien,2
christianpopp,laermkontorgmbh,2
christianpopp,laermschutz,2
christophbals,germanwatchev,3
christophbals,klimaschutz,3
christophhaeuser,biodiversitaet,2
christophhaeuser,museumfuernaturkundeberlin,2
cornelialoehne,biodiversitaet,2
cornelialoehne,botanischergartenundbotanischesmuseumberlindahlem,2
dietrichjelden,biodiversitaet,2
dietrichjelden,bundesamtfuernaturschutz,3
dietrichjelden,artenschutz,1
dirktessmer,rechtsanwaeltephilippgerlachtessmer,2
dirktessmer,umweltrecht,2
erneuerbareenergien,bundesverbandbioenergieev,2
erneuerbareenergien,bundesverbandwindenergieev,2
erneuerbareenergien,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,2
erneuerbareenergien,bundfuerumweltundnaturschutzdeutschlandev,2
erneuerbareenergien,bundnaturschutzbayernev,2
erneuerbareenergien,institutfuerlebensmittelundressourcenoekonomik,2
erneuerbareenergien,photoneuropegmbh,2
erneuerbareenergien,solarpraxisag,2
erneuerbareenergien,universitaetwuerzburg,2
erneuerbareenergien,verbraucherzentralebundesverbandev,2
erneuerbareenergien,wwfdeutschland,2
erneuerbareenergien,bundesverbandderenergieundwasserwirtschaftev,3
erneuerbareenergien,bundesverbanderneuerbareenergienev,3
erneuerbareenergien,anwaltskanzleigleisslutz,1
erneuerbareenergien,belectricsolarkraftwerkegmbh,1
erneuerbareenergien,belectrictradinggmbh,1
erneuerbareenergien,biogasratev,1
erneuerbareenergien,buendnisbuergerenergieev,1
erneuerbareenergien,buergerinitiativekeineneuenwindraederincrussow,1
erneuerbareenergien,buergerinitiativewindradfreiesdietramszellev,1
erneuerbareenergien,bundderenergieverbraucherev,1
erneuerbareenergien,bundesamtfuernaturschutz,1
erneuerbareenergien,bundesverbandbioenergieev,2
erneuerbareenergien,bundesverbandderenergieundwasserwirtschaftev,3
erneuerbareenergien,bundesverbanderneuerbareenergienev,3
erneuerbareenergien,bundesverbandwindenergieev,2
erneuerbareenergien,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,2
erneuerbareenergien,bundfuerumweltundnaturschutzdeutschlandev,2
erneuerbareenergien,bundnaturschutzbayernev,2
erneuerbareenergien,deutscheenergieagenturgmbh,1
erneuerbareenergien,deutscherindustrieundhandelskammertagev,1
erneuerbareenergien,deutscheunternehmensinitiativeenergieeffizienzev,1
erneuerbareenergien,enertragag,1
erneuerbareenergien,fachverbandbiogasev,1
erneuerbareenergien,fraunhoferinstitutfuersolareenergiesysteme ,1
erneuerbareenergien,fraunhoferinstitutfuersystemundinnovationsforschung,1
erneuerbareenergien,grundgruenenergiegmbh,1
erneuerbareenergien,helmholtzzentrumfuerumweltforschung,1
erneuerbareenergien,igmetallvorstand,1
erneuerbareenergien,institutfuerenergieundumwelttechnik,1
erneuerbareenergien,institutfuerlebensmittelundressourcenoekonomik,2
erneuerbareenergien,juwiholdingag,1
erneuerbareenergien,landesbankbadenwuerttemberg,1
erneuerbareenergien,naturschutzbunddeutschlandev,1
erneuerbareenergien,photoneuropegmbh,2
erneuerbareenergien,prognosag,1
erneuerbareenergien,pvcrystaloxsolargmbh,1
erneuerbareenergien,redcertgmbh,1
