from,to,weight
juergenresch,abfallentsorgung,1
kaifalk,abfallentsorgung,3
peterkurth,abfallentsorgung,1
ralfbleicher,abfallentsorgung,1
uwefeige,abfallentsorgung,2
atomkraft,agoraenergiewende,3
klaustoepfer,agoraenergiewende,3
gewaesser,alfredwegenerinstitut,1
klimaschutz,alstom,1
erneuerbareenergien,anwaltskanzleigleisslutz,1
umweltrecht,arbeitsgemeinschaftdeutscherwaldbesitzerverbaende,1
artenschutz,arbeitsgemeinschaftherdenschutzhundeev,1
atomkraft,arkhangelskarcticstateuniversity,1
vladimirkuznetsov,arkhangelskarcticstateuniversity,1
dietrichjelden,artenschutz,1
abfallentsorgung,ascopusgmbh,1
atomkraft,assezweibegleitgruppe,1
hildegardmueller,atomkraft,1
hubertweiger,atomkraft,1
joachimbreckow,atomkraft,2
klaustoepfer,atomkraft,3
mathiasedler,atomkraft,2
rainerbaake,atomkraft,1
stephankohler,atomkraft,1
thorbenbecker,atomkraft,1
torstenmertins,atomkraft,1
ursulaheinenesser,atomkraft,3
vladimirkuznetsov,atomkraft,2
wolfgangrenneberg,atomkraft,2
wolframkoenig,atomkraft,4
umweltrecht,baumannrechtsanwaelte,1
laermschutz,baurechtsamtfreiburgimbreisgau,1
gewaesser,bayerischesstaatsministeriumfuerumweltundverbraucherschutz,1
gewaesser,bayrischesstaatsministeriumfuerumweltundgesundheit,1
erneuerbareenergien,belectricsolarkraftwerkegmbh,1
erneuerbareenergien,belectrictradinggmbh,1
abfallentsorgung,berlinerstadtreinigung,1
gewaesser,bezirksregierungarnsberg,1
christophhaeuser,biodiversitaet,2
cornelialoehne,biodiversitaet,2
dietrichjelden,biodiversitaet,2
francoismeienberg,biodiversitaet,2
hartmutmeyer,biodiversitaet,2
ricardogent,biodiversitaet,2
erneuerbareenergien,biogasratev,1
reinhardschultz,biogasratev,1
umweltrecht,boschundpartnergmbh,1
biodiversitaet,botanischergartenundbotanischesmuseumberlindahlem,2
cornelialoehne,botanischergartenundbotanischesmuseumberlindahlem,2
luftbelastung,brotfuerdiewelt,1
erneuerbareenergien,buendnisbuergerenergieev,1
erneuerbareenergien,buergerinitiativekeineneuenwindraederincrussow,1
atomkraft,buergerinitiativeumweltschutzluechowdannenbergev,1
erneuerbareenergien,buergerinitiativewindradfreiesdietramszellev,1
atomkraft,buerofueratomsicherheit,2
wolfgangrenneberg,buerofueratomsicherheit,2
erneuerbareenergien,bundderenergieverbraucherev,1
atomkraft,bundesamtfuerkerntechnischeentsorgungssicherheit,2
wolframkoenig,bundesamtfuerkerntechnischeentsorgungssicherheit,2
artenschutz,bundesamtfuernaturschutz,1
beatejessel,bundesamtfuernaturschutz,4
biodiversitaet,bundesamtfuernaturschutz,2
dietrichjelden,bundesamtfuernaturschutz,3
erneuerbareenergien,bundesamtfuernaturschutz,1
gewaesser,bundesamtfuernaturschutz,1
infrastruktur,bundesamtfuernaturschutz,1
umweltrecht,bundesamtfuernaturschutz,2
atomkraft,bundesamtfuerstrahlenschutz,4
infrastruktur,bundesamtfuerstrahlenschutz,2
wolframkoenig,bundesamtfuerstrahlenschutz,3
gewaesser,bundesanstaltfuergeowissenschaftenundrohstoffegeozentrumhannover,1
axelgedaschko,bundesarbeitsgemeinschaftimmobilienwirtschaftdeutschland,1
infrastruktur,bundesarbeitsgemeinschaftimmobilienwirtschaftdeutschland,1
atomkraft,bundesgesellschaftfuerendlagerungmbh,2
ursulaheinenesser,bundesgesellschaftfuerendlagerungmbh,2
gewaesser,bundesministeriumfuerumweltnaturschutzundreaktorsicherheit,1
handelsabkommen,bundesministeriumfuerwirtschaftundenergie,1
infrastruktur,bundesnetzagentur,1
infrastruktur,bundestransferstellestadtumbau,1
erneuerbareenergien,bundesverbandbioenergieev,2
fracking,bundesverbandbuergerinitiativenumweltschutzev,1
abfallentsorgung,bundesverbandderdeutschenentsorgungswasserundrohstoffwirtschaftev,2
peterkurth,bundesverbandderdeutschenentsorgungswasserundrohstoffwirtschaftev,2
luftbelastung,bundesverbandderdeutschenfluggesellschaftenev,1
abfallentsorgung,bundesverbandderdeutschenindustrieev,1
andreastheuer,bundesverbandderdeutschenindustrieev,2
luftbelastung,bundesverbandderdeutschenindustrieev,1
umweltrecht,bundesverbandderdeutschenindustrieev,2
atomkraft,bundesverbandderenergieundwasserwirtschaftev,1
erneuerbareenergien,bundesverbandderenergieundwasserwirtschaftev,3
fracking,bundesverbandderenergieundwasserwirtschaftev,1
hildegardmueller,bundesverbandderenergieundwasserwirtschaftev,2
umweltrecht,bundesverbandderenergieundwasserwirtschaftev,1
axelgedaschko,bundesverbanddeutscherwohnungsundimmobilienunternehmenev,5
fluechtlinge,bundesverbanddeutscherwohnungsundimmobilienunternehmenev,1
infrastruktur,bundesverbanddeutscherwohnungsundimmobilienunternehmenev,4
luftbelastung,bundesverbandemissionshandelundklimaschutz,1
bjoernklusmann,bundesverbanderneuerbareenergienev,2
erneuerbareenergien,bundesverbanderneuerbareenergienev,3
andreasibel,bundesverbandfreierimmobilienundwohnungsunternehmenev,2
fluechtlinge,bundesverbandfreierimmobilienundwohnungsunternehmenev,1
infrastruktur,bundesverbandfreierimmobilienundwohnungsunternehmenev,1
infrastruktur,bundesverbandfuerwohnenundstadtentwicklungev,1
abfallentsorgung,bundesverbandsekundaerrohstoffeundentsorgungev,1
erneuerbareenergien,bundesverbandwindenergieev,2
gewaesser,bundesverbandwindenergieev,1
hermannalbers,bundesverbandwindenergieev,2
fluechtlinge,bundesvereinigungderkommunalenspitzenverbaende,1
hilmarvonlojewski,bundesvereinigungderkommunalenspitzenverbaende,1
infrastruktur,bundesvereinigungderkommunalenspitzenverbaende,2
abfallentsorgung,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,2
atomkraft,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,1
infrastruktur,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,1
ralfbleicher,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,1
torstenmertins,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,3
umweltrecht,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,1
abfallentsorgung,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
erneuerbareenergien,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,2
fracking,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
gewaesser,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
hilmarvonlojewski,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,3
infrastruktur,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,2
laermschutz,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
luftbelastung,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
infrastruktur,bundesvereinigungderlandesundstadtentwicklungsgesellschaftenev,1
atomkraft,bundfuerumweltundnaturschutzdeutschlandev,2
erneuerbareenergien,bundfuerumweltundnaturschutzdeutschlandev,2
gewaesser,bundfuerumweltundnaturschutzdeutschlandev,3
gewaesser,bundfuerumweltundnaturschutzdeutschlandev,3
hubertweiger,bundfuerumweltundnaturschutzdeutschlandev,2
infrastruktur,bundfuerumweltundnaturschutzdeutschlandev,1
luftbelastung,bundfuerumweltundnaturschutzdeutschlandev,2
thorbenbecker,bundfuerumweltundnaturschutzdeutschlandev,2
umweltrecht,bundfuerumweltundnaturschutzdeutschlandev,1
gewaesser,bundlaenderarbeitsgemeinschaftwasser,1
erneuerbareenergien,bundnaturschutzbayernev,2
luftbelastung,bzlkommunikationundprojektsteuerunggmbh,1
atomkraft,citizensnuclearinformationcenter,1
atomkraft,demosgesellschaftfuerepartizipationmbh,1
fracking,deutscheakademiedertechnikwissenschaftenacatech,1
atomkraft,deutscheenergieagenturgmbh,1
erneuerbareenergien,deutscheenergieagenturgmbh,1
stephankohler,deutscheenergieagenturgmbh,2
biodiversitaet,deutschegesellschaftfuerinternationalezusammenarbeit,1
hartmutmeyer,deutschegesellschaftfuerinternationalezusammenarbeit,2
biodiversitaet,deutscheindustrievereinigungbiotechnologieimverbandderchemischenindustrieev,2
ricardogent,deutscheindustrievereinigungbiotechnologieimverbandderchemischenindustrieev,2
infrastruktur,deutschekommissionelektrotechnik,1
frankfellenberg,deutscheranwaltverein,1
umweltrecht,deutscheranwaltverein,1
gewaesser,deutscherbauernverbandev,1
infrastruktur,deutschercaritasverbandev,1
infrastruktur,deutschergewerkschaftsbund,1
erneuerbareenergien,deutscherindustrieundhandelskammertagev,1
luftbelastung,deutscherindustrieundhandelskammertagev,1
fluechtlinge,deutschermieterbundev,1
infrastruktur,deutschermieterbundev,3
lukassiebenkotten,deutschermieterbundev,2
ulrichropertz,deutschermieterbundev,2
laermschutz,deutscherolympischersportbund,1
klimaschutz,deutschesgeoforschungszentrum,1
infrastruktur,deutschesinstitutfuerurbanistikggmbh,1
klimaschutz,deutschesinstitutfuerwirtschaftsordnungev,1
infrastruktur,deutschesstudentenwerkev,1
abfallentsorgung,deutscheumwelthilfeev,2
atomkraft,deutscheumwelthilfeev,2
fracking,deutscheumwelthilfeev,1
juergenresch,deutscheumwelthilfeev,2
klimaschutz,deutscheumwelthilfeev,1
rainerbaake,deutscheumwelthilfeev,2
erneuerbareenergien,deutscheunternehmensinitiativeenergieeffizienzev,1
infrastruktur,deutscheunternehmensinitiativeenergieeffizienzev,1
atomkraft,duesseldorferinstituteforcompetitioneconomics,1
klimaschutz,ecofysgermany,1
infrastruktur,ecologinstitutggmbh,1
klimaschutz,eggersmalmendierrechtsanwaelte,1
erneuerbareenergien,enertragag,1
atomkraft,eonag,1
biodiversitaet,erklaerungvonbern,1
francoismeienberg,erklaerungvonbern,2
beatejessel,erneuerbareenergien,2
bjoernklusmann,erneuerbareenergien,2
hermannalbers,erneuerbareenergien,1
hildegardmueller,erneuerbareenergien,1
hilmarvonlojewski,erneuerbareenergien,1
holgerkrawinkel,erneuerbareenergien,2
hubertweiger,erneuerbareenergien,1
