id,label,type
fluechtlinge,Flüchtlinge,3
infrastruktur,Infrastruktur,3
axelgedaschko,Axel Gedaschko,1
dkbag,DKB AG,2
vodafonegmbh,Vodafone AG,2
volksundraiffeisenbanken,Volks- und Raiffeisenbanken,2
easycredit,easyCredit,2
unitymediagmbh,Unitymedia GmbH,2
vattenfallgmbh,Vattenfall GmbH,2
innogyse,Innogy SE,2
telekomdeutschlandgmbh,Telekom Deutschland GmbH,2
totalgmbh,TOTAL GmbH,2
techemgmbh,Techem GmbH,2
bundesarbeitsgemeinschaftimmobilienwirtschaftdeutschland,Bundesarbeitsgemeinschaft Immobilienwirtschaft Deutschland,2
europaeischesbildungszentrumderwohnungsundimmobilienwirtschaft,Europäisches Bildungszentrum der Wohnungs- und Immobilienwirtschaft,2
deutscheentwicklungshilfefuersozialeswohnungsundsiedlungswesen,Deutsche Entwicklungshilfe für soziales Wohnungs- und Siedlungswesen,2
schufaholdingag,Schufa Holding GmbH,2
bundesverbanddeutscherwohnungsundimmobilienunternehmenev,Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,2
