from,to,weight
atomkraft,bundesvereinigungderkommunalenspitzenverbaende,1
axelwelge,bundesvereinigungderkommunalenspitzenverbaende,1
detlefraphael,bundesvereinigungderkommunalenspitzenverbaende,1
fluechtlinge,bundesvereinigungderkommunalenspitzenverbaende,1
fracking,bundesvereinigungderkommunalenspitzenverbaende,1
gesinekortweiher,bundesvereinigungderkommunalenspitzenverbaende,1
gewaesser,bundesvereinigungderkommunalenspitzenverbaende,1
jenslattmann,bundesvereinigungderkommunalenspitzenverbaende,1
kayruge,bundesvereinigungderkommunalenspitzenverbaende,1
klaushebborn,bundesvereinigungderkommunalenspitzenverbaende,1
laermschutz,bundesvereinigungderkommunalenspitzenverbaende,1
luftbelastung,bundesvereinigungderkommunalenspitzenverbaende,1
umweltrecht,bundesvereinigungderkommunalenspitzenverbaende,1
waltraudmeiersienel,bundesvereinigungderkommunalenspitzenverbaende,1
erneuerbareenergien,bundesvereinigungderkommunalenspitzenverbaende,2
ottohuter,bundesvereinigungderkommunalenspitzenverbaende,2
ralfbleicher,bundesvereinigungderkommunalenspitzenverbaende,2
torstenmertins,bundesvereinigungderkommunalenspitzenverbaende,3
abfallentsorgung,bundesvereinigungderkommunalenspitzenverbaende,4
hilmarvonlojewski,bundesvereinigungderkommunalenspitzenverbaende,4
infrastruktur,bundesvereinigungderkommunalenspitzenverbaende,5
axelwelge,luftbelastung,1
detlefraphael,abfallentsorgung,1
gesinekortweiher,fluechtlinge,1
jenslattmann,erneuerbareenergien,1
kayruge,abfallentsorgung,1
klaushebborn,laermschutz,1
ottohuter,fracking,1
ottohuter,gewaesser,1
ralfbleicher,abfallentsorgung,2
torstenmertins,atomkraft,1
torstenmertins,infrastruktur,1
torstenmertins,umweltrecht,1
hilmarvonlojewski,erneuerbareenergien,1
hilmarvonlojewski,infrastruktur,3
waltraudmeiersienel,infrastruktur,1
