id,label,type
axelwelge,Axel Welge,1
detlefraphael,Detlef Raphael,1
gesinekortweiher,Gesine Kortweiher,1
jenslattmann,Jens Lattmann,1
kayruge,Kay Ruge,1
klaushebborn,Klaus Hebborn,1
waltraudmeiersienel,Waltraud Meier-Sienel,1
ottohuter,Otto Huter,1
ralfbleicher,Ralf Bleicher,1
torstenmertins,Torsten Mertins,1
hilmarvonlojewski,Hilmar von Lojewski,1
bundesvereinigungderkommunalenspitzenverbaende,Bundesvereinigung der kommunalen Spitzenverbände,2
atomkraft,Atomkraft,3
fluechtlinge,Flüchtlinge,3
fracking,Fracking,3
gewaesser,Gewässer,3
laermschutz,Lärmschutz,3
luftbelastung,Luftbelastung,3
umweltrecht,Umweltrecht,3
erneuerbareenergien,Erneuerbare Energien,3
infrastruktur,Infrastruktur,3
abfallentsorgung,Abfallentsorgung,3
