from,to,weight
alexanderkessler,abfallentsorgung,1
andreaszuber,abfallentsorgung,1
burkhardlanders,abfallentsorgung,1
detlefraphael,abfallentsorgung,1
ellennaumann,abfallentsorgung,1
hansguentherstehr,abfallentsorgung,1
hartmutgassner,abfallentsorgung,1
herwartwilms,abfallentsorgung,1
holgeralwast,abfallentsorgung,1
holgerthaerichen,abfallentsorgung,1
juergenresch,abfallentsorgung,1
juergenresch,abfallentsorgung,1
kaifalk,abfallentsorgung,1
kaifalk,abfallentsorgung,2
kayruge,abfallentsorgung,1
otmarfrey,abfallentsorgung,1
peterkurth,abfallentsorgung,1
peterkurth,abfallentsorgung,1
ralfbleicher,abfallentsorgung,1
ralfbleicher,abfallentsorgung,1
tanjawielgoss,abfallentsorgung,1
thomasdietershagen,abfallentsorgung,1
uwefeige,abfallentsorgung,1
uwefeige,abfallentsorgung,1
atomkraft,agoraenergiewende,3
klaustoepfer,agoraenergiewende,3
christianbuschbaum,alfredwegenerinstitut,1
gewaesser,alfredwegenerinstitut,1
gilesdickson,alstom,1
klimaschutz,alstom,1
erneuerbareenergien,anwaltskanzleigleisslutz,1
ulrichbattis,anwaltskanzleigleisslutz,1
detlevstoehr,arbeitsgemeinschaftdeutscherwaldbesitzerverbaende,1
umweltrecht,arbeitsgemeinschaftdeutscherwaldbesitzerverbaende,1
artenschutz,arbeitsgemeinschaftherdenschutzhundeev,1
knutkucznik,arbeitsgemeinschaftherdenschutzhundeev,1
atomkraft,arkhangelskarcticstateuniversity,1
vladimirkuznetsov,arkhangelskarcticstateuniversity,1
brittahabbe,artenschutz,1
dietrichjelden,artenschutz,1
ilkareinhardt,artenschutz,1
joergandreaskrueger,artenschutz,1
johnescanlon,artenschutz,1
knutkucznik,artenschutz,1
markusbathen,artenschutz,1
sandraaltherr,artenschutz,1
abfallentsorgung,ascopusgmbh,1
hansguentherstehr,ascopusgmbh,1
atomkraft,assezweibegleitgruppe,1
christianasteinbruegge,assezweibegleitgruppe,1
heikewiegel,assezweibegleitgruppe,1
joergroehmann,assezweibegleitgruppe,1
ralfkrupp,assezweibegleitgruppe,1
udodettman,assezweibegleitgruppe,1
alfredvoss ,atomkraft,1
brunothomauske,atomkraft,1
christianasteinbruegge,atomkraft,1
christophcoch,atomkraft,1
christophpistner,atomkraft,1
doertesiedentopf,atomkraft,1
frankschorkopf,atomkraft,1
hansgerdmarian,atomkraft,1
hanshagedorn,atomkraft,1
hansjoachimreck,atomkraft,1
heikewiegel,atomkraft,1
heinzsmital,atomkraft,1
heinzwdrotleff,atomkraft,1
hideyukiban,atomkraft,1
hildegardmueller,atomkraft,1
horstgeckeis,atomkraft,1
hubertweiger,atomkraft,1
ingoluge,atomkraft,1
joachimbreckow,atomkraft,1
joachimbreckow,atomkraft,1
joachimknebel,atomkraft,1
joergroehmann,atomkraft,1
justushaucap,atomkraft,1
klaustoepfer,atomkraft,3
martinfuchs,atomkraft,1
martinrudolfdonat,atomkraft,1
martinschaeffer,atomkraft,1
mathiasedler,atomkraft,2
michaelsailer,atomkraft,1
mycleschneider,atomkraft,1
naotokan,atomkraft,1
rainerbaake,atomkraft,1
rainerbaake,atomkraft,1
ralfkrupp,atomkraft,1
rolfmartinschmitz,atomkraft,1
stefanienoethel,atomkraft,1
stephaniehurst,atomkraft,1
stephankohler,atomkraft,1
stephanweil,atomkraft,1
thomasjung,atomkraft,1
thorbenbecker,atomkraft,1
timurguel,atomkraft,1
torstenmertins,atomkraft,1
udodettman,atomkraft,1
ursulaheinenesser,atomkraft,3
ursulaschoenberger,atomkraft,1
uweleprich ,atomkraft,1
vladimirkuznetsov,atomkraft,2
